player_id,active_days,total_recharge,total_profit,total_bet,burn_per_day,loss_pct,first_active,last_active,vip_level,lifetime_recharge,lifetime_withdraw,pr_group
38160054,5,31000.00,-11005.80,201097.30,2201.16,35.5,2026-01-08,2026-01-20,0,0.00,0.00,PR95+_fastest
51732450,2,3000.00,-4390.72,6305.00,2195.36,146.4,2026-01-04,2026-01-20,0,0.00,0.00,PR95+_fastest
69276037,1,1000.00,-2190.00,3525.60,2190.00,219.0,2026-01-01,2026-01-01,0,0.00,0.00,PR95+_fastest
24258459,4,1000.00,-8740.29,7498.74,2185.07,874.0,2026-01-09,2026-01-28,0,0.00,0.00,PR95+_fastest
89348163,3,300.00,-6540.00,42520.00,2180.00,2180.0,2026-01-26,2026-01-28,0,0.00,0.00,PR95+_fastest
37721728,1,500.00,-2175.86,8863.40,2175.86,435.2,2026-01-03,2026-01-03,0,0.00,0.00,PR95+_fastest
23682177,2,100.00,-4322.48,2861.00,2161.24,4322.5,2026-01-28,2026-01-29,0,0.00,0.00,PR95+_fastest
88411619,1,1000.00,-2145.00,11245.00,2145.00,214.5,2026-01-28,2026-01-28,0,0.00,0.00,PR95+_fastest
96819025,15,118832.00,-32106.10,390435.90,2140.41,27.0,2026-01-01,2026-01-31,0,0.00,0.00,PR95+_fastest
81218556,2,1000.00,-4250.00,4870.00,2125.00,425.0,2026-01-30,2026-01-31,0,0.00,0.00,PR95+_fastest
34807105,4,1300.00,-8394.40,8502.00,2098.60,645.7,2026-01-09,2026-01-18,0,0.00,0.00,PR95+_fastest
40203911,1,300.00,-2089.74,5107.00,2089.74,696.6,2026-01-15,2026-01-15,0,0.00,0.00,PR95+_fastest
37799367,2,600.00,-4162.00,5944.00,2081.00,693.7,2026-01-02,2026-01-08,0,0.00,0.00,PR95+_fastest
92995128,20,77800.00,-41522.40,1043398.20,2076.12,53.4,2026-01-07,2026-01-30,0,0.00,0.00,PR95+_fastest
64729153,1,500.00,-2039.51,10301.00,2039.51,407.9,2026-01-05,2026-01-05,0,0.00,0.00,PR95+_fastest
92430412,1,1300.00,-2030.70,3724.00,2030.70,156.2,2026-01-09,2026-01-09,0,0.00,0.00,PR95+_fastest
49792738,2,500.00,-4057.30,18059.50,2028.65,811.5,2026-01-26,2026-01-29,0,0.00,0.00,PR95+_fastest
31946763,11,70100.00,-22011.08,377656.00,2001.01,31.4,2026-01-15,2026-01-31,0,0.00,0.00,PR95+_fastest
63053372,4,15000.00,-7960.36,111589.00,1990.09,53.1,2026-01-10,2026-01-26,0,0.00,0.00,PR95+_fastest
17804260,3,1900.00,-5911.36,32397.54,1970.45,311.1,2026-01-01,2026-01-18,0,0.00,0.00,PR95+_fastest
29177477,4,8000.00,-7813.33,125330.50,1953.33,97.7,2026-01-28,2026-01-31,0,0.00,0.00,PR95+_fastest
92737004,4,4000.00,-7786.60,51875.00,1946.65,194.7,2026-01-01,2026-01-16,0,0.00,0.00,PR95+_fastest
99058175,1,500.00,-1936.00,2895.50,1936.00,387.2,2026-01-02,2026-01-02,0,0.00,0.00,PR95+_fastest
22832664,2,1003.00,-3853.91,12149.65,1926.96,384.2,2026-01-15,2026-01-16,0,0.00,0.00,PR95+_fastest
29619774,2,1000.00,-3834.44,32909.00,1917.22,383.4,2026-01-21,2026-01-22,0,0.00,0.00,PR95+_fastest
39533117,6,200.00,-11500.00,36489.00,1916.67,5750.0,2026-01-07,2026-01-30,0,0.00,0.00,PR95+_fastest
75466567,2,1000.00,-3813.60,4928.00,1906.80,381.4,2026-01-10,2026-01-11,0,0.00,0.00,PR95+_fastest
85008030,1,100.00,-1899.95,2217.00,1899.95,1900.0,2026-01-09,2026-01-09,0,0.00,0.00,PR95+_fastest
15818349,1,1000.00,-1891.95,3917.00,1891.95,189.2,2026-01-12,2026-01-12,0,0.00,0.00,PR95+_fastest
75808436,2,1000.00,-3781.00,9617.00,1890.50,378.1,2026-01-30,2026-01-31,0,0.00,0.00,PR95+_fastest
52834547,1,1000.00,-1884.00,9000.00,1884.00,188.4,2026-01-06,2026-01-06,0,0.00,0.00,PR95+_fastest
80245126,6,1000.00,-11238.88,111336.00,1873.15,1123.9,2026-01-14,2026-01-28,0,0.00,0.00,PR95+_fastest
96506724,7,2000.00,-13104.94,21848.23,1872.13,655.2,2026-01-01,2026-01-19,0,0.00,0.00,PR95+_fastest
32430408,2,2000.00,-3732.45,9114.40,1866.23,186.6,2026-01-18,2026-01-19,0,0.00,0.00,PR95+_fastest
33428018,1,500.00,-1864.00,7760.00,1864.00,372.8,2026-01-29,2026-01-29,0,0.00,0.00,PR95+_fastest
43200131,26,45000.00,-48385.87,243386.00,1861.00,107.5,2026-01-02,2026-01-29,0,0.00,0.00,PR95+_fastest
25054999,1,500.00,-1854.20,7635.00,1854.20,370.8,2026-01-29,2026-01-29,0,0.00,0.00,PR95+_fastest
73736560,5,1500.00,-9256.06,91681.00,1851.21,617.1,2026-01-01,2026-01-14,0,0.00,0.00,PR95+_fastest
74286306,3,1900.00,-5542.15,49760.00,1847.38,291.7,2026-01-01,2026-01-06,0,0.00,0.00,PR95+_fastest
